year,tmp,month,tmpLoess,deconID
1997,6.4,3,8.233495819602041,606
1998,8.9,3,8.287645855656407,607
1999,8.9,3,8.341830488636433,608
2000,10.2,3,8.396103199521363,609
2001,7.1,3,8.45048829087061,610
2002,8.1,3,8.504985615992055,611
2003,8.5,3,8.55959746295018,612
2004,9.4,3,8.614326192213326,613
2005,9.3,3,8.669167591293998,614
2006,8,3,8.724104074642312,615
2007,11.5,3,8.779109515302707,616
2008,7.6,3,8.8341575284215,617
2009,11.8,3,8.889208286126859,618
2010,8.7,3,8.944225215469615,619
2011,11.6,3,8.999158092629443,620
2012,8.2,3,9.05395208720094,621
2013,8.1,3,9.108538682778544,622
2014,10.8,3,9.162859998411008,623
2015,8.4,3,9.216870045508955,624
2016,7.9,3,9.270513276246973,625
2017,7.4,3,9.323746207893095,626
1881,11.8,4,11.742686275409625,629
1882,12,4,11.76137611928776,630
1883,12.4,4,11.78039684879949,631
1884,12.7,4,11.79975496413364,632
1885,10,4,11.819445357632983,633
1886,12.7,4,11.839453391476184,634
1887,10,4,11.85977444381846,635
1888,12.1,4,11.880401070267482,636
1889,15.8,4,11.901337269147092,637
1890,13.6,4,11.922584862281688,638
1891,12.7,4,11.944129071090963,639
1892,12.2,4,11.965932819729666,640
1893,12.3,4,11.987942191275884,641
1894,11.3,4,12.010091611784759,642
1895,12.2,4,12.032305481039593,643
1896,10.7,4,12.054504888596377,644
1897,10.6,4,12.07660411348958,645
1898,11.3,4,12.098522217132476,646
1899,11.1,4,12.120188029450304,647
1900,10.8,4,12.141538161048459,648
1901,12.8,4,12.162521836704485,649
1902,8.6,4,12.183104597075435,650
1903,12.6,4,12.203257670423199,651
1904,12.3,4,12.222979047058864,652
1905,12.1,4,12.242294862317522,653
1906,13.1,4,12.261285978287091,654
1907,12.9,4,12.280143703264642,655
1908,13.2,4,12.299249206093663,656
1909,10.9,4,12.319291872568641,657
1910,12.3,4,12.341253477348346,658
1911,13.1,4,12.358439323816327,659
1912,11.9,4,12.37464035536319,660
1913,12.4,4,12.38959758741283,661
1914,10.9,4,12.403115181891565,662
1915,13.1,4,12.415193903337062,663
1916,13.1,4,12.42586722898226,664
1917,15,4,12.43517714907752,665
1918,14,4,12.443143291305939,666
1919,11.6,4,12.449771095103914,667
1920,13.8,4,12.455188396282104,668
1921,14,4,12.459667709871841,669
1922,13.6,4,12.463427314870213,670
1923,11.4,4,12.466689483134456,671
1924,13.7,4,12.469514681810043,672
1925,13.9,4,12.471935088348793,673
1926,10.7,4,12.474097933676543,674
1927,10.9,4,12.475970864917286,675
1928,10.1,4,12.477262525448378,676
1929,13.1,4,12.477702965839761,677
1930,11.6,4,12.476920334340154,678
1931,15.1,4,12.474677773218616,679
1932,12.5,4,12.47099097827292,680
1933,11.5,4,12.465815378472495,681
1934,13.3,4,12.458889901386378,682
1935,10.5,4,12.449836205512725,683
1936,12.3,4,12.43839862981191,684
1937,14.7,4,12.424735408209711,685
1938,10.7,4,12.409192276161672,686
1939,10.5,4,12.392406728157171,687
1940,12.2,4,12.374997748775735,688
1941,9.2,4,12.35750262255875,689
1942,12.1,4,12.3406367612493,690
1943,12.8,4,12.325092482462205,691
1944,11.6,4,12.311574705470637,692
1945,14,4,12.300329081228668,693
1946,13.9,4,12.291372699482345,694
1947,14.7,4,12.284423266991695,695
1948,13.6,4,12.279172878771794,696
1949,12.2,4,12.275380205109158,697
1950,13.8,4,12.272480468546666,698
1951,11.5,4,12.269842122444283,699
1952,12.3,4,12.266980169104109,700
1953,13.2,4,12.263509404359404,701
1954,12.2,4,12.259115356755458,702
1955,10.3,4,12.25370055837827,703
1956,12.5,4,12.247389707661846,704
1957,9.7,4,12.240255470080815,705
1958,13.3,4,12.232405203897617,706
1959,12.7,4,12.223890371019756,707
1960,12.8,4,12.21457770724065,708
1961,10.3,4,12.204402294810393,709
1962,9.8,4,12.193704624901777,710
1963,12,4,12.183034452280964,711
1964,13.6,4,12.17277045876476,712
1965,11.2,4,12.163583159758801,713
1966,13,4,12.156153546238993,714
1967,12.5,4,12.151125837263644,715
1968,10.9,4,12.149226992682273,716
1969,12.9,4,12.150900941452647,717
1970,11.4,4,12.156425394166954,718
1971,14,4,12.16612524300643,719
1972,11.3,4,12.180161634177658,720
1973,12.5,4,12.198571020168508,721
1974,11,4,12.221324066255924,722
1975,11.8,4,12.24811102709527,723
1976,12.8,4,12.278496567693253,724
1977,11.7,4,12.311776391153657,725
1978,11.6,4,12.347179110394052,726
1979,12.4,4,12.384056342916338,727
1980,10.7,4,12.421970591459527,728
1981,13.2,4,12.460768775935733,729
1982,12.4,4,12.500230069346031,730
1983,11.3,4,12.539945601840643,731
1984,10.8,4,12.579787121437946,732
1985,13.4,4,12.619855168057228,733
1986,14.1,4,12.659998744513956,734
1987,9.7,4,12.699915748180544,735
1988,14.2,4,12.73906650540286,736
1989,13.8,4,12.774257647716084,737
1990,13.9,4,12.806025059927734,738
1991,9.5,4,12.836216646756014,739
1992,14.5,4,12.865915998537801,740
1993,14.6,4,12.895629192715134,741
1994,12.6,4,12.925523122365888,742
1995,12.2,4,12.955606880919994,743
1996,11.2,4,12.985847842816128,744
1997,12.7,4,13.016215408636683,745
1998,14,4,13.046693740333751,746
1999,13.8,4,13.077266061641197,747
2000,14.6,4,13.107901473506459,748
2001,14.4,4,13.138557199989293,749
2002,13.8,4,13.16917747091211,750
2003,14.1,4,13.199697986899167,751
2004,11.6,4,13.230052141290216,752
2005,12.8,4,13.260175675660008,753
2006,13.1,4,13.290023928311726,754
2007,14.2,4,13.319564940368068,755
2008,14.5,4,13.348770978669577,756
2009,13.6,4,13.377607371358934,757
2010,10.4,4,13.406030604481657,758
2011,13.9,4,13.434000851480555,759
2012,14.2,4,13.461496358068636,760
2013,11.8,4,13.488495248938058,761
2014,12.4,4,13.514973329539963,762
2015,12.3,4,13.540925622856847,763
2016,13.7,4,13.566367566676064,764
2017,14.1,4,13.591330670909699,765
1881,15.1,5,15.37191420329581,768
1882,14.3,5,15.369268399877821,769
1883,16.2,5,15.36627856206592,770
1884,13.1,5,15.362946218350809,771
1885,16.7,5,15.359270061910463,772
1886,14.3,5,15.355259399479124,773
1887,15.5,5,15.35091698864869,774
1888,15.8,5,15.346253388155317,775
1889,18.6,5,15.341280087231787,776
1890,13.9,5,15.33600146494524,777
1891,14.7,5,15.330413251772073,778
1892,15.1,5,15.32452271673304,779
1893,15.8,5,15.318348526185726,780
1894,14.2,5,15.311914283275899,781
1895,15.7,5,15.305244284195876,782
1896,16.7,5,15.298373934993645,783
1897,17,5,15.291338561103274,784
1898,14.8,5,15.284159859382893,785
1899,14.7,5,15.276843585696113,786
1900,16,5,15.269397033296986,787
1901,15.6,5,15.261832680329292,788
1902,15.3,5,15.254153801018237,789
1903,14.8,5,15.246351450238048,790
1904,15.2,5,15.238405140338465,791
1905,17,5,15.230281075332197,792
